ปี,ข้อที่,ประเภท,หมวดหมู่,โจทย์,ตัวเลือก ก,ตัวเลือก ข,ตัวเลือก ค,ตัวเลือก ง,เฉลย,คำอธิบาย
ปี 2560,23,ปรนัย (MC),พันธะเคมี,ข้อใดเป็นสารประกอบที่มีมุมระหว่างพันธะแคบที่สุด,ClF3,SiF4,NCl3,OCl2,ก,"ปฏิกิริยาดูดความร้อน (endothermic) มีพลังงานผลิตภัณฑ์สูงกว่าสารตั้งต้น (ΔH > 0) จากกราฟ ปฏิกิริยา III เป็นเพียงปฏิกิริยาเดียวที่ผลิตภัณฑ์มีพลังงานสูงกว่าสารตั้งต้น ปฏิกิริยา I, II และ IV ล้วนเป็นปฏิกิริยาคายความร้อน (exothermic)"
ปี 2560,24,ปรนัย (MC),พันธะเคมี,ข้อใดเป็นโมเลกุลหรือไอออนที่อะตอมกลางมีอิเล็กตรอนคู่โดดเดี่ยวมากที่สุด,NH₃,XeF₂,NO₂⁻,SO₃²⁻,ค,NH₃: N มี 1 LP | XeF₂: Xe มี 3 LP (เส้นตรง 2 พันธะ + 3 LP) | NO₂⁻: N มี 1 LP | SO₃²⁻: S มี 1 LP → XeF₂ มีมากที่สุด (3 LP) → ข้อ ข
ปี 2560,25,ปรนัย (MC),พันธะเคมี,ข้อใดเป็นโมเลกุลไม่มีขั้ว,SF₄,SCl₂,PCl₃,PF₅,ง,SF₄: seesaw มีขั้ว | SCl₂: bent มีขั้ว | PCl₃: pyramidal มีขั้ว | PF₅: trigonal bipyramidal สมมาตร ไม่มีขั้ว → ข้อ ง
ปี 2560,26,ปรนัย (MC),พันธะเคมี,ข้อใดเป็นสารประกอบที่มีทั้งพันธะโคเวเลนต์และพันธะไอออนิก,Na₂O,COCl₂,H₂SO₄,CaCO₃,ง,Na₂O: ionic ล้วน | COCl₂: covalent ล้วน | H₂SO₄: covalent ล้วน | CaCO₃: Ca²⁺ (ionic) + CO₃²⁻ ที่มีพันธะ covalent ภายใน → มีทั้งสองชนิด → ข้อ ง
ปี 2560,27,ปรนัย (MC),พันธะเคมี,ข้อใดเป็นสารที่มีพันธะโคออร์ดิเนตโคเวเลนต์,H₂O₂,O₃,H₂CO,CH₂NH,ข,O₃: โอโซน O→O=O มีพันธะโคออร์ดิเนต (O ให้คู่อิเล็กตรอนแก่ O กลาง) → ข้อ ข
ปี 2560,28,ปรนัย (MC),พันธะเคมี,ข้อใดเป็นรูปร่างโมเลกุลของ KrO₂F₂,ทรงสี่หน้า,สี่เหลี่ยมแบนราบ,ทรงสี่หน้าบิดเบี้ยว,พีระมิดฐานสามเหลี่ยม,ค,Kr มี 4 พันธะ (2 ต่อ O + 2 ต่อ F) + 1 LP = 5 electron pairs → seesaw (ทรงสี่หน้าบิดเบี้ยว) → ข้อ ค
ปี 2560,29,ปรนัย (MC),พันธะเคมี,การเรียกชื่อสาร ข้อใดไม่ถูกต้อง,CrO₃ = โครเมียมไตรออกไซด์,Na₂S₂O₃ = โซเดียมไทโอซัลเฟต,Hg₂Cl₂ = เมอร์คิวรี(I)คลอไรด์,Ba(NO₂)₂ = แบเรียมไนไตรต์,ง,"Hg₂Cl₂ มี Hg₂²⁺ (สองอะตอม Hg รวมกัน) ชื่อที่ถูกต้องควรเป็น ""ไดเมอร์คิวรี(I)คลอไรด์"" ไม่ใช่ ""เมอร์คิวรี(I)คลอไรด์"" ซึ่งหมายถึง HgCl → ข้อ ค ผิด"
ปี 2560,30,ปรนัย (MC),พันธะเคมี,ข้อใดเกี่ยวข้องกับพลังงานการสลายพันธะ C=C,CH₂CHCH₃(g) → CH₂CCH₃(g) + H(g),CH₂CHCH₃(g) → CH₂(g) + CHCH₃(g),CH₂CHCH₃(g) → CH₂CH(g) + CH₃(g),CH₂CHCH₃(g) → CH₂CHCH₂(g) + H(g),ค,สลายพันธะ C=C ระหว่างคาร์บอน 1 กับ 2 → CH₂(g) + CHCH₃(g) → ข้อ ข
ปี 2560,31,ปรนัย (MC),พันธะเคมี,ข้อใดเป็นโมเลกุลหรือไอออนที่มีโครงสร้างไม่เป็นไปตามกฎออกเตต,IF,IF₂⁺,IF₃²⁺,IF₄⁺,ข,IF₂⁺: I มีเพียง 4e รอบ (2 พันธะ ไม่มี LP บน I) = electron deficient ไม่ครบออกเตต → ข้อ ข
ปี 2560,32,ปรนัย (MC),พันธะเคมี,ข้อใดทั้ง 2 โมเลกุลเป็นโมเลกุลที่มีขั้ว,HCN และ KrF4,AsI5 และ SBr2,ClH3 และ TeF4,SO3 และ PBr3,ค,อัตราการเกิดปฏิกิริยาในแง่ของสาร A คือ -Δn(A)/Δt จากกราฟอ่านค่าการเปลี่ยนแปลงของ A ได้ 0.10 mol ในเวลา 1 s ดังนั้นอัตราการเกิดปฏิกิริยา = 0.10 mol/s
ปี 2560,33,ปรนัย (MC),พันธะเคมี,พิจารณาโครงสร้างผลึก NaCl ในรูป คำตอบใดถูกต้อง,หน่วยเซลล์ประกอบด้วย Na⁺ 4 ไอออนและ Cl⁻ 4 ไอออน,ในหน่วยเซลล์แต่ละ Na⁺ ล้อมรอบด้วย Cl⁻ 6 ไอออน,ในหน่วยเซลล์แต่ละ Cl⁻ ล้อมรอบด้วย Na⁺ 4 ไอออน,อัตราส่วน Na⁺ : Cl⁻ = 1 : 2,ก,NaCl cubic structure: หน่วยเซลล์ (FCC) มี Na⁺ 4 ไอออน และ Cl⁻ 4 ไอออน (อัตราส่วน 1:1) แต่ละไอออนล้อมรอบด้วยไอออนตรงข้าม 6 ตัว (octahedral) → ข้อ ก ✓
ปี 2560,34,ปรนัย (MC),พันธะเคมี,พิจารณาสมบัติของสาร A ในรูปกราฟ ข้อใดถูกต้อง,สาร A มีจุดหลอมเหลวสูงกว่าน้ำ,สาร A เป็นของแข็งที่อุณหภูมิ 20°C,สาร A มีความดันไอสูงกว่าน้ำที่อุณหภูมิเดียวกัน,สาร A มีจุดเดือดต่ำกว่าน้ำ,ค,ต้องดูกราฟในข้อสอบเพื่อเปรียบเทียบสมบัติ
ปี 2560,35,ปรนัย (MC),พันธะเคมี,จากกราฟแสดงความสัมพันธ์ระหว่างอุณหภูมิและสถานะของสาร ข้อใดถูกต้อง,สาร A มีจุดหลอมเหลว 100°C,สาร A ระเหิดได้ที่ความดันบรรยากาศ,จุดสามสถานะของสาร A อยู่ที่ความดันสูงกว่า 1 atm,สาร A ที่สถานะของแข็งมีความหนาแน่นน้อยกว่าของเหลว,ง,ต้องดูแผนภูมิวัฏภาคในข้อสอบ
ปี 2560,36,ปรนัย (MC),สถานะของสารและแก๊ส,แก๊สชนิดหนึ่งที่อุณหภูมิ 20°C มีปริมาตร 100 cm3 ที่ความดันคงที่ อุณหภูมิ 10°C แก๊สนี้มีปริมาตรกี่ลูกบาศก์เซนติเมตร,50.0,96.6,103.5,200,ข,กฎชาร์ล: V1/T1=V2/T2 → 100/293=V2/283 → V2=96.6 cm3
ปี 2560,37,ปรนัย (MC),สถานะของสารและแก๊ส,ข้อใดเป็นภาวะที่แก๊สฮีเลียมมีพฤติกรรมคล้ายแก๊สอุดมคติมากที่สุด,50 K และ 150 mmHg,50 K และ 6 atm,750 K และ 150 mmHg,750 K และ 6 atm,ค,แก๊สอุดมคติที่สุดเมื่ออุณหภูมิสูงและความดันต่ำ → 750K และ 150 mmHg
ปี 2560,38,ปรนัย (MC),สถานะของสารและแก๊ส,แก๊สอุดมคติมีปริมาตร 0.40 L ที่ 2.0 atm และ 273°C แก๊สชนิดนี้จะมีปริมาตรกี่ลิตรที่ STP,0.20,0.40,0.80,1.20,ก,"T1=546K, T2=273K, P1=2atm, P2=1atm → V2=0.40×(2/1)×(273/546)=0.20 L"
ปี 2560,39,ปรนัย (MC),สถานะของสารและแก๊ส,ที่ปริมาตรและมวลของแก๊สคงที่ เมื่ออุณหภูมิเพิ่มจาก 25°C เป็น 50°C ความดันของแก๊สจะเพิ่มขึ้น 2 เท่า ข้อความนี้ถูกหรือผิด,ถูก เพราะ 50/25=2,ผิด เพราะ 323/298 ≠ 2,ถูก เพราะกฎของเกย์-ลูสแซก,ผิด เพราะความดันขึ้นกับจำนวนโมล,ข,"25°C=298K, 50°C=323K อัตราส่วน 323/298 ≈ 1.08 ≠ 2 ดังนั้นความดันไม่ได้เพิ่ม 2 เท่า"
ปี 2560,40,ปรนัย (MC),สถานะของสารและแก๊ส,แก๊ส A ที่ STP มีความหนาแน่น 1.25 g/L แก๊ส A จำนวน 5 โมลมีมวลกี่กรัม,112,140,224,280,ข,"MW = 1.25×22.4 = 28 g/mol, 5 mol = 140 g"
ปี 2560,41,ปรนัย (MC),สถานะของสารและแก๊ส,แก๊ส H2 แพร่ผ่านแผ่นรูพรุนใช้เวลา 12 วินาที ภายใต้ภาวะเดียวกัน แก๊ส O2 จะใช้เวลากี่วินาที,3,24,36,48,ง,กฎเกรแฮม: t(O2)/t(H2) = sqrt(32/2) = 4 → t(O2) = 12×4 = 48 วินาที
ปี 2560,42,ปรนัย (MC),สถานะของสารและแก๊ส,พิจารณากราฟแสดงการกระจายของพลังงานจลน์ของโมเลกุลแก๊สที่อุณหภูมิ T₁ และ T₂ ข้อใดถูกต้อง,T₁ > T₂,T₁ < T₂,ที่ T₁ โมเลกุลมีพลังงานจลน์เฉลี่ยสูงกว่า T₂,กราฟ T₁ และ T₂ มีพื้นที่ใต้กราฟเท่ากัน,ข,กราฟ Maxwell-Boltzmann: ที่อุณหภูมิสูงกว่า กราฟจะแบนและเตี้ยกว่า พื้นที่ใต้กราฟเท่ากันเสมอ (จำนวนโมเลกุลเท่ากัน) → ข้อ ข
ปี 2560,43,ปรนัย (MC),สถานะของสารและแก๊ส,พิจารณาแผนภาพวัฏภาค (phase diagram) ของสาร A ข้อสรุปใดถูกต้อง,สาร A สามารถระเหิดได้ที่ความดันบรรยากาศ,จุดสามสถานะของสาร A อยู่ที่ความดันต่ำกว่า 1 atm,สาร A ที่สถานะของแข็งมีความหนาแน่นมากกว่าของเหลว,สาร A ที่สถานะของเหลวสามารถอยู่ที่อุณหภูมิสูงกว่า 100°C,ค,ต้องดูแผนภาพวัฏภาคในข้อสอบ → ข้อ ค
ปี 2560,44,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,"2LiOH + CO2 → Li2CO3 + H2O ถ้านำ LiOH 240 g ทำปฏิกิริยาพอดีกับ CO2 ที่ 1.00 atm, 500 K จะต้องใช้ CO2 กี่ลิตร",93,186,205,410,ค,"LiOH 240g = 10mol → CO2 = 5mol, V = 5×0.082×500/1.00 = 205 L"
ปี 2560,45,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,สารละลาย HCl 0.2 mol/dm3 ปริมาตร 200 cm3 ทำปฏิกิริยาพอดีกับสารประกอบคาร์บอเนต 3.94 g เกิด CO2 448 cm3 ที่ STP สูตรเคมีของสารประกอบคาร์บอเนตคือข้อใด,Na2CO3,MgCO3,CaCO3,BaCO3,ง,"HCl=0.04mol, CO2=0.02mol → คาร์บอเนต=0.02mol, MW=3.94/0.02=197 → BaCO3 (MW=197)"
